Dataset,IndexType,Param,K,Recall,QPS,Latency(us),IndexSizeKB,VectorsPerKB,VQ
fashion-mnist-784-euclidean,HNSWALP0,ef=10,1,0.961500,3065.958267,326.162300,52297.156250,1.147290,3517.543002
fashion-mnist-784-euclidean,HNSWALP0.000000,ef=20,1,0.984700,2098.900176,476.440000,52297.156250,1.147290,2408.047007
fashion-mnist-784-euclidean,HNSWALP0.000000,ef=30,1,0.991800,1624.316670,615.643500,52297.156250,1.147290,1863.562136
fashion-mnist-784-euclidean,HNSWALP0.000000,ef=40,1,0.995000,1346.761987,742.521700,52297.156250,1.147290,1545.126447
fashion-mnist-784-euclidean,HNSWALP0.000000,ef=60,1,0.996900,1030.069691,970.808100,52297.156250,1.147290,1181.788570
fashion-mnist-784-euclidean,HNSWALP0.000000,ef=80,1,0.997700,849.885707,1176.628800,52297.156250,1.147290,975.065302
fashion-mnist-784-euclidean,HNSWALP0.000000,ef=100,1,0.998500,733.144011,1363.988500,52297.156250,1.147290,841.128731
fashion-mnist-784-euclidean,HNSWALP0.000000,ef=150,1,0.998600,527.911137,1894.258200,52297.156250,1.147290,605.667124
fashion-mnist-784-euclidean,HNSWALP0.000000,ef=200,1,0.999000,450.253698,2220.970100,52297.156250,1.147290,516.571527
fashion-mnist-784-euclidean,HNSWALP0.000000,ef=250,1,0.999100,393.849365,2539.041800,52297.156250,1.147290,451.859405
fashion-mnist-784-euclidean,HNSWALP0.000000,ef=10,10,0.932130,3115.551118,320.970500,52297.156250,1.147290,3574.440380
fashion-mnist-784-euclidean,HNSWALP0.000000,ef=20,10,0.979050,2103.014924,475.507800,52297.156250,1.147290,2412.767816
fashion-mnist-784-euclidean,HNSWALP0.000000,ef=30,10,0.990690,1627.675430,614.373100,52297.156250,1.147290,1867.415608
fashion-mnist-784-euclidean,HNSWALP0.000000,ef=40,10,0.994320,1349.257450,741.148400,52297.156250,1.147290,1547.989466
fashion-mnist-784-euclidean,HNSWALP0.000000,ef=60,10,0.997440,1031.297507,969.652300,52297.156250,1.147290,1183.197231
fashion-mnist-784-euclidean,HNSWALP0.000000,ef=80,10,0.998550,850.562468,1175.692600,52297.156250,1.147290,975.841743
fashion-mnist-784-euclidean,HNSWALP0.000000,ef=100,10,0.999010,732.932351,1364.382400,52297.156250,1.147290,840.885895
fashion-mnist-784-euclidean,HNSWALP0.100000,ef=10,1,0.951300,7099.519647,140.854600,52297.156250,1.147290,8145.207299
fashion-mnist-784-euclidean,HNSWALP0.100000,ef=20,1,0.977500,5338.244518,187.327500,52297.156250,1.147290,6124.514105
fashion-mnist-784-euclidean,HNSWALP0.100000,ef=30,1,0.984900,4260.676723,234.704500,52297.156250,1.147290,4888.231440
fashion-mnist-784-euclidean,HNSWALP0.100000,ef=40,1,0.987500,3553.398879,281.420700,52297.156250,1.147290,4076.778702
fashion-mnist-784-euclidean,HNSWALP0.100000,ef=60,1,0.989300,2678.700819,373.315300,52297.156250,1.147290,3073.246438
fashion-mnist-784-euclidean,HNSWALP0.100000,ef=80,1,0.990600,2159.351037,463.102100,52297.156250,1.147290,2477.401670
fashion-mnist-784-euclidean,HNSWALP0.100000,ef=100,1,0.991300,1815.958425,550.673400,52297.156250,1.147290,2083.430789
fashion-mnist-784-euclidean,HNSWALP0.100000,ef=150,1,0.992200,1301.657413,768.251300,52297.156250,1.147290,1493.378424
fashion-mnist-784-euclidean,HNSWALP0.100000,ef=200,1,0.992200,1027.076404,973.637400,52297.156250,1.147290,1178.354402
fashion-mnist-784-euclidean,HNSWALP0.100000,ef=250,1,0.992800,850.837254,1175.312900,52297.156250,1.147290,976.157001
fashion-mnist-784-euclidean,HNSWALP0.100000,ef=300,1,0.992900,726.931519,1375.645400,52297.156250,1.147290,834.001201
fashion-mnist-784-euclidean,HNSWALP0.100000,ef=350,1,0.993100,638.603777,1565.916200,52297.156250,1.147290,732.663674
fashion-mnist-784-euclidean,HNSWALP0.100000,ef=400,1,0.993100,569.867428,1754.794100,52297.156250,1.147290,653.803153
fashion-mnist-784-euclidean,HNSWALP0.100000,ef=500,1,0.993200,471.156927,2122.435100,52297.156250,1.147290,540.553591
fashion-mnist-784-euclidean,HNSWALP0.100000,ef=10,10,0.752920,7087.830266,141.086900,52297.156250,1.147290,8131.796191
fashion-mnist-784-euclidean,HNSWALP0.100000,ef=20,10,0.802290,5303.042355,188.571000,52297.156250,1.147290,6084.127018
fashion-mnist-784-euclidean,HNSWALP0.100000,ef=30,10,0.815180,4233.963756,236.185300,52297.156250,1.147290,4857.583922
